Timestamp;Heat MWH;Water M3;;;
1,6,2023;0,574999999;7,803222656;;;
2,6,2023;0,774000003;-2,048828125;;;
3,6,2023;0,708000007;6,09375;;;
4,6,2023;0,496;2,854980469;;;
5,6,2023;0,436000006;2,004394531;;;
6,6,2023;0,404000004;1,714111328;;;
7,6,2023;0,407000006;4,142578125;;;
8,6,2023;0,410000002;2,799560547;;;
9,6,2023;0,411000009;2,491455078;;;
10,6,2023;0,390000009;2,346679688;;;
11,6,2023;0,413000006;6,086425781;;;
12,6,2023;0,381000008;1,64453125;;;
13,6,2023;0,408000004;2,116210938;;;
14,6,2023;0,397000006;5,636962891;;;
15,6,2023;0,382000008;2,853515625;;;
16,6,2023;0,377000003;4,503417969;;;
17,6,2023;0,381000003;7,512207031;;;
18,6,2023;0,299000005;1,797119141;;;
19,6,2023;;2,310058594;;;
20,6,2023;0,372000008;3,493408203;;;
21,6,2023;0,360000001;0;;;
22,6,2023;0,335000003;0;;;
23,6,2023;0,314000003;0;;;
24,6,2023;0,302000005;0;;;
25,6,2023;0,307000004;0;;;
26,6,2023;0,323000005;21,59716797;;;
27,6,2023;0,325000004;2,427001953;;;
28,6,2023;0,315000002;3,023193359;;;
29,6,2023;0,327000005;1,349609375;;;
30,6,2023;0,280000003;3,165283203;;;
1,7,2023;0,325000003;2,514892578;;;
2,7,2023;0,310000004;2,993408203;;;
3,7,2023;0,328000005;1,335693359;;;
4,7,2023;0,341000007;98,05224609;;;
5,7,2023;0,336000003;-94,50195313;;;
6,7,2023;0,348000003;4,743408203;;;
7,7,2023;0,342000003;2,633300781;;;
8,7,2023;0,354000005;4,088134766;;;
9,7,2023;0,345000004;1,632568359;;;
10,7,2023;0,38500001;2,09765625;;;
11,7,2023;0,370000006;1,550537109;;;
12,7,2023;0,352000009;1,063232422;;;
13,7,2023;0,345000008;1,837890625;;;
14,7,2023;0,356000009;3,977783203;;;
15,7,2023;0,345000006;2,480957031;;;
16,7,2023;0,332000005;1,014404297;;;
17,7,2023;0,335000009;0,778564453;;;
18,7,2023;0,351000006;1,516845703;;;
19,7,2023;0,351000009;0,889404297;;;
20,7,2023;0,343000007;1,695068359;;;
21,7,2023;0,346000007;1,230224609;;;
22,7,2023;0,341000007;7,068115234;;;
23,7,2023;0,349000005;3,109619141;;;
24,7,2023;0,350000006;1,388427734;;;
25,7,2023;0,327114097;0,501220703;;;
26,7,2023;0,359000006;2,379638672;;;
27,7,2023;0,342000007;3,195556641;;;
28,7,2023;0,358000007;4,347412109;;;
29,7,2023;0,375000007;3,174072266;;;
30,7,2023;0,353000008;2,69140625;;;
31,7,2023;0,300000007;0,420654297;;;
1,8,2023;0,36300001;0,663330078;;;
2,8,2023;0,377000008;3,228759766;;;
3,8,2023;0,369000007;2,221679688;;;
4,8,2023;0,359000007;1,450927734;;;
5,8,2023;0,365000007;2,059082031;;;
6,8,2023;0,305000008;1,448242188;;;
7,8,2023;;7,500732422;;;
8,8,2023;;2,137939453;;;
9,8,2023;;1,92578125;;;
10,8,2023;;3,689208984;;;
11,8,2023;;4,168701172;;;
12,8,2023;;3,692138672;;;
