Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-01,1.557000009343028,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-02,1.520999995060265,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-03,1.421999997459352,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-04,1.3709999965503812,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-05,1.349000004120171,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-06,1.4610000010579824,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-07,1.7030000034719706,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-08,1.6850000116974115,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-09,1.7070000199601054,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-10,1.3850000025704503,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-11,1.3580000000074506,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-12,1.5546391205862164,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-13,1.5480000097304583,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-14,1.5020000142976642,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-15,1.3509999988600612,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-16,1.3379999976605177,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-17,1.7149999998509884,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-18,1.4810000024735928,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-19,1.5740000111982226,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-20,1.4350000116974115,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-21,1.4800000041723251,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-22,1.4859999977052212,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-23,1.3410000018775463,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-24,1.4220000030472875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-25,1.4719999991357327,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-26,1.3080000085756183,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-27,1.2270000101998448,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-28,1.0680000083521008,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-29,1.2010000040754676,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-30,0.9250000072643161,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-31,1.0060000084340572,-
