Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-01,1.720458984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-02,2.912841796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-03,2.7041015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-04,2.064453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-05,3.581298828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-06,36.6015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-07,7.53564453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-08,2.13134765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-09,1.0908203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-10,-29.197998046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-11,2.757568359375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-12,4.64599609375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-13,10.420654296875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-14,1.4375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-15,18.3828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-16,4.183837890625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-17,0.4931640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-18,-19.37744140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-19,4.89453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-20,5.0078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-21,2.82666015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-22,2.182373046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-23,1.2236328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-24,1.1171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-25,0.768798828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-26,2.59130859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-27,2.565185546875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-28,6.4404296875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-29,5.361083984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-30,1.491455078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-10-31,1.49462890625,-
